accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
0.2176,-0.0192,-0.063,-0.0675,0.0251,-0.0336,0.0004,0.0002,0.0,0.1516,1.0,3
0.1732,-0.0394,-0.0403,-0.0331,0.037,-0.0256,0.0002,0.0003,0.0,0.1214,1.0,3
0.143,-0.0025,-0.0222,-0.0046,0.0373,-0.0302,0.0004,0.0002,0.0,0.0965,1.0,3
0.1229,0.0109,-0.0132,-0.0382,0.0133,-0.0356,0.0002,0.0003,0.0,0.0827,1.0,3
0.1208,-0.017,0.0038,-0.0434,0.0008,-0.033,0.0004,0.0002,0.0,0.0814,1.0,3
0.1311,-0.0415,0.0104,0.0031,0.0064,-0.0241,0.0001,0.0003,0.0,0.0919,1.0,3
0.156,-0.0194,-0.027,-0.0272,-0.0593,-0.0169,0.0003,0.0002,1.0,0.1063,2.0,3
0.161,0.0082,-0.0243,0.0039,-0.0499,-0.0178,0.0003,0.0002,0.4467,0.1087,2.0,3
0.1513,0.0192,-0.0658,-0.0053,-0.0654,-0.0226,0.0003,0.0002,0.0,0.1107,2.0,3
0.2118,0.0298,-0.0686,-0.0444,-0.0517,-0.0291,0.0003,0.0003,0.0,0.1497,2.0,3
0.2176,-0.0192,-0.063,-0.0675,0.0251,-0.0336,0.0004,0.0002,0.0,0.1516,2.0,3
0.1732,-0.0394,-0.0403,-0.0331,0.037,-0.0256,0.0002,0.0003,0.0,0.1214,2.0,3
0.143,-0.0025,-0.0222,-0.0046,0.0373,-0.0302,0.0004,0.0002,0.0,0.0965,2.0,3
0.1229,0.0109,-0.0132,-0.0382,0.0133,-0.0356,0.0002,0.0003,0.0,0.0827,2.0,3
0.1208,-0.017,0.0038,-0.0434,0.0008,-0.033,0.0004,0.0002,0.0,0.0814,2.0,3
0.1311,-0.0415,0.0104,0.0031,0.0064,-0.0241,0.0001,0.0003,0.0,0.0919,2.0,3
0.1314,-0.0346,-0.0024,-0.0084,0.003,-0.0243,0.0002,0.0003,0.0,0.0906,2.0,3
0.1294,-0.0053,-0.0041,0.0021,-0.0037,-0.0266,0.0005,0.0002,0.0,0.0864,2.0,3
0.216,-0.0316,0.0148,0.0006,0.0175,-0.0285,0.0001,0.0002,0.0,0.1459,2.0,3
0.1313,-0.0483,0.0208,0.0409,0.0587,-0.0395,0.0004,0.0005,0.5433,0.0943,2.0,3
