accX,accy,accZ,gyroX,gyroY,gyroZ,flex1,flex2,flex3,mag,count,label
0.0701,0.0345,-0.0225,0.0585,-0.1308,-0.0073,0.0,0.9882,0.0,0.0542,1.0,2
0.2006,0.0661,-0.0534,0.0243,-0.0778,-0.0034,0.0006,0.5355,0.0,0.1452,1.0,2
0.1463,0.0429,-0.0367,-0.0155,-0.0062,-0.0184,0.0,0.0162,0.0,0.1045,1.0,2
0.125,0.0144,-0.0214,-0.0135,0.0038,-0.017,0.0006,0.0002,0.0,0.0851,1.0,2
0.1214,0.0266,-0.0336,-0.0069,0.0296,-0.0169,0.0,0.0003,0.0,0.0858,1.0,2
0.1016,0.0262,-0.0323,-0.0221,0.0364,-0.0164,0.0005,0.0003,0.0,0.0732,1.0,2
0.0959,0.0059,-0.0303,-0.0204,0.0345,-0.0197,0.0,0.0003,0.0,0.0671,1.0,2
0.0852,0.0022,-0.0256,-0.01,0.0246,-0.023,0.0005,0.0003,0.0,0.0593,1.0,2
0.0917,0.0021,-0.0157,-0.006,0.0066,-0.0254,0.0001,0.0003,0.0,0.062,1.0,2
0.1077,0.0027,-0.0124,-0.0018,0.0084,-0.0286,0.0004,0.0003,0.0,0.0723,1.0,2
0.0889,0.0022,0.0006,-0.0007,0.0061,-0.0354,0.0001,0.0003,0.0,0.0593,1.0,2
0.0942,0.0077,0.0008,-0.0009,-0.0094,-0.0398,0.0004,0.0003,0.0,0.063,1.0,2
-0.0532,-0.0294,-0.0245,0.0297,-0.041,-0.0136,0.0006,1.0,0.0,0.0437,2.0,2
0.0701,0.0345,-0.0225,0.0585,-0.1308,-0.0073,0.0,0.9882,0.0,0.0542,2.0,2
0.2006,0.0661,-0.0534,0.0243,-0.0778,-0.0034,0.0006,0.5355,0.0,0.1452,2.0,2
0.1463,0.0429,-0.0367,-0.0155,-0.0062,-0.0184,0.0,0.0162,0.0,0.1045,2.0,2
0.125,0.0144,-0.0214,-0.0135,0.0038,-0.017,0.0006,0.0002,0.0,0.0851,2.0,2
0.1214,0.0266,-0.0336,-0.0069,0.0296,-0.0169,0.0,0.0003,0.0,0.0858,2.0,2
0.1016,0.0262,-0.0323,-0.0221,0.0364,-0.0164,0.0005,0.0003,0.0,0.0732,2.0,2
0.0959,0.0059,-0.0303,-0.0204,0.0345,-0.0197,0.0,0.0003,0.0,0.0671,2.0,2
0.0852,0.0022,-0.0256,-0.01,0.0246,-0.023,0.0005,0.0003,0.0,0.0593,2.0,2
0.0917,0.0021,-0.0157,-0.006,0.0066,-0.0254,0.0001,0.0003,0.0,0.062,2.0,2
0.1077,0.0027,-0.0124,-0.0018,0.0084,-0.0286,0.0004,0.0003,0.0,0.0723,2.0,2
0.0889,0.0022,0.0006,-0.0007,0.0061,-0.0354,0.0001,0.0003,0.0,0.0593,2.0,2
0.0942,0.0077,0.0008,-0.0009,-0.0094,-0.0398,0.0004,0.0003,0.0,0.063,2.0,2
0.1242,0.0266,-0.0531,0.0001,-0.0078,-0.0284,0.0,0.4023,0.0,0.0918,2.0,2
0.0874,0.0371,-0.0257,0.0167,-0.0126,-0.0256,0.0006,1.0,0.0,0.0656,2.0,2
0.1545,0.049,-0.0479,0.0036,0.043,-0.0116,0.0,1.0,0.0,0.1126,2.0,2
0.0773,0.0033,-0.0805,0.0069,0.1129,0.0186,0.0006,1.0,0.0,0.0744,2.0,2
0.0407,0.0209,-0.0918,-0.006,0.0654,0.0174,0.0,1.0,0.0,0.0684,2.0,2
0.0202,-0.0064,-0.0545,0.0083,-0.0442,-0.002,0.0006,1.0,0.0,0.039,2.0,2
0.0575,0.0183,-0.0413,0.0198,-0.0873,0.0005,0.0,1.0,0.0,0.0488,2.0,2
0.1601,0.0672,-0.0478,0.0092,-0.0576,0.0077,0.0007,0.9618,0.0,0.12,2.0,2
0.1503,0.0421,-0.0242,-0.0091,-0.02,0.0174,0.0,0.5101,0.0,0.1053,2.0,2
0.1535,0.0316,-0.014,-0.0189,-0.0051,0.0112,0.0006,0.165,0.0,0.1049,2.0,2
0.1582,0.0188,-0.0026,-0.0123,0.0134,0.0134,0.0,0.0005,0.0,0.1063,2.0,2
0.1392,0.0241,-0.0097,-0.008,0.0193,0.0113,0.0006,0.0002,0.0,0.0944,2.0,2
0.1272,0.0198,-0.0075,-0.0032,0.0001,0.0089,0.0,0.0004,0.0,0.086,2.0,2
0.1119,0.021,-0.0131,0.0084,-0.0269,0.0107,0.0005,0.0004,0.0,0.0764,2.0,2
0.1601,0.0247,-0.0358,0.0109,-0.0314,0.014,0.0001,0.0003,0.0,0.1106,2.0,2
0.1614,0.029,-0.0441,0.0032,0.0024,0.0067,0.0005,0.0002,0.0,0.1132,2.0,2
0.1287,0.0154,-0.043,0.0035,0.0025,0.0109,0.0001,0.0003,0.0,0.091,2.0,2
0.0407,0.0209,-0.0918,-0.006,0.0654,0.0174,0.0,1.0,0.0,0.0684,3.0,2
0.0202,-0.0064,-0.0545,0.0083,-0.0442,-0.002,0.0006,1.0,0.0,0.039,3.0,2
0.0575,0.0183,-0.0413,0.0198,-0.0873,0.0005,0.0,1.0,0.0,0.0488,3.0,2
0.1601,0.0672,-0.0478,0.0092,-0.0576,0.0077,0.0007,0.9618,0.0,0.12,3.0,2
0.1503,0.0421,-0.0242,-0.0091,-0.02,0.0174,0.0,0.5101,0.0,0.1053,3.0,2
0.1535,0.0316,-0.014,-0.0189,-0.0051,0.0112,0.0006,0.165,0.0,0.1049,3.0,2
0.1582,0.0188,-0.0026,-0.0123,0.0134,0.0134,0.0,0.0005,0.0,0.1063,3.0,2
0.1392,0.0241,-0.0097,-0.008,0.0193,0.0113,0.0006,0.0002,0.0,0.0944,3.0,2
0.1272,0.0198,-0.0075,-0.0032,0.0001,0.0089,0.0,0.0004,0.0,0.086,3.0,2
0.1119,0.021,-0.0131,0.0084,-0.0269,0.0107,0.0005,0.0004,0.0,0.0764,3.0,2
0.1601,0.0247,-0.0358,0.0109,-0.0314,0.014,0.0001,0.0003,0.0,0.1106,3.0,2
0.1614,0.029,-0.0441,0.0032,0.0024,0.0067,0.0005,0.0002,0.0,0.1132,3.0,2
0.1287,0.0154,-0.043,0.0035,0.0025,0.0109,0.0001,0.0003,0.0,0.091,3.0,2
0.1464,0.0115,0.0017,0.0087,0.0356,0.0302,0.0006,0.4778,0.0,0.0979,3.0,2
0.1477,0.0105,0.0142,0.0586,0.0633,0.0806,0.0001,1.0,0.0,0.0992,3.0,2
0.0669,0.0236,-0.0572,0.0398,0.0996,0.0815,0.0006,1.0,0.0,0.0608,3.0,2
0.087,0.0096,-0.0591,-0.0089,0.0641,0.0621,0.0,1.0,0.0,0.0704,3.0,2
0.0166,-0.0694,-0.033,0.0376,-0.0347,0.046,0.0006,1.0,0.0,0.0524,3.0,2
0.0702,-0.0013,-0.0298,0.0561,-0.1043,0.037,0.0,1.0,0.0,0.0509,3.0,2
0.2139,0.0187,-0.08,0.0062,-0.0699,0.0313,0.0006,0.8249,0.0,0.1528,3.0,2
0.2006,-0.0266,-0.0633,-0.014,-0.0109,0.015,0.0,0.4177,0.0,0.1413,3.0,2
0.1766,-0.0183,-0.0164,-0.0077,0.0325,0.0321,0.0006,0.0002,0.0,0.1188,3.0,2
0.1316,-0.024,-0.0049,-0.0002,0.0384,0.0424,0.0,0.0003,0.0,0.0893,3.0,2
0.1585,-0.0283,-0.0165,-0.0139,0.0292,0.0339,0.0006,0.0002,0.0,0.1079,3.0,2
0.1554,-0.0597,-0.0214,-0.0201,0.044,0.0281,0.0,0.0003,0.0,0.1119,3.0,2
0.1105,-0.0655,0.0037,0.0094,0.0197,0.029,0.0006,0.0002,0.0,0.0857,3.0,2
0.1376,-0.0247,-0.0107,0.0086,0.007,0.0274,0.0,0.0004,0.0,0.0935,3.0,2
0.1413,-0.0682,-0.0221,-0.0043,0.0249,0.0226,0.0006,0.0004,0.0,0.1056,3.0,2
0.1368,-0.0844,-0.0209,0.0096,0.0384,0.0141,0.0,0.0003,0.0,0.1081,3.0,2
0.111,-0.0538,0.0018,0.0044,0.0146,0.0095,0.0005,0.0002,0.0,0.0822,3.0,2
0.087,0.0096,-0.0591,-0.0089,0.0641,0.0621,0.0,1.0,0.0,0.0704,4.0,2
0.0166,-0.0694,-0.033,0.0376,-0.0347,0.046,0.0006,1.0,0.0,0.0524,4.0,2
0.0702,-0.0013,-0.0298,0.0561,-0.1043,0.037,0.0,1.0,0.0,0.0509,4.0,2
0.2139,0.0187,-0.08,0.0062,-0.0699,0.0313,0.0006,0.8249,0.0,0.1528,4.0,2
0.2006,-0.0266,-0.0633,-0.014,-0.0109,0.015,0.0,0.4177,0.0,0.1413,4.0,2
0.1766,-0.0183,-0.0164,-0.0077,0.0325,0.0321,0.0006,0.0002,0.0,0.1188,4.0,2
0.1316,-0.024,-0.0049,-0.0002,0.0384,0.0424,0.0,0.0003,0.0,0.0893,4.0,2
0.1585,-0.0283,-0.0165,-0.0139,0.0292,0.0339,0.0006,0.0002,0.0,0.1079,4.0,2
0.1554,-0.0597,-0.0214,-0.0201,0.044,0.0281,0.0,0.0003,0.0,0.1119,4.0,2
0.1105,-0.0655,0.0037,0.0094,0.0197,0.029,0.0006,0.0002,0.0,0.0857,4.0,2
0.1376,-0.0247,-0.0107,0.0086,0.007,0.0274,0.0,0.0004,0.0,0.0935,4.0,2
0.1413,-0.0682,-0.0221,-0.0043,0.0249,0.0226,0.0006,0.0004,0.0,0.1056,4.0,2
0.1368,-0.0844,-0.0209,0.0096,0.0384,0.0141,0.0,0.0003,0.0,0.1081,4.0,2
0.111,-0.0538,0.0018,0.0044,0.0146,0.0095,0.0005,0.0002,0.0,0.0822,4.0,2
0.1137,-0.0739,0.0213,-0.0123,0.0905,0.0115,0.0001,1.0,0.0,0.0915,4.0,2
0.0668,-0.0838,0.0225,-0.0224,0.1014,0.0046,0.0005,1.0,0.0,0.073,4.0,2
0.0635,-0.0807,0.0178,-0.0223,0.0626,-0.0057,0.0001,1.0,0.0,0.0695,4.0,2
0.0566,-0.1219,0.0125,-0.0223,0.058,-0.0243,0.0006,1.0,0.0,0.09,4.0,2
-0.0219,-0.1338,0.0451,0.0258,-0.0617,-0.0536,0.0,1.0,0.0,0.0952,4.0,2
0.0061,-0.1148,0.0384,0.0576,-0.1894,-0.0624,0.0006,1.0,0.0,0.0808,4.0,2
0.1692,-0.0666,-0.0076,0.0624,-0.164,-0.0708,0.0,0.9343,0.0,0.1214,4.0,2
0.1722,-0.0453,-0.0384,0.0591,-0.0782,-0.0753,0.0006,0.4673,0.0,0.1214,4.0,2
0.1764,-0.0164,-0.0392,0.0432,-0.0328,-0.0753,0.0,0.0217,0.0,0.121,4.0,2
0.1614,-0.0185,-0.0206,0.0383,0.0148,-0.0763,0.0006,0.0002,0.0,0.1092,4.0,2
0.1421,0.0004,-0.0201,0.0457,0.0406,-0.069,0.0,0.0004,0.0,0.0957,4.0,2
0.11,0.0111,-0.021,0.028,0.0432,-0.0629,0.0006,0.0001,0.0,0.075,4.0,2
0.0911,0.0081,-0.0071,0.0192,0.0177,-0.0608,0.0,0.0003,0.0,0.0612,4.0,2
0.1014,0.0207,-0.0074,0.0023,-0.0061,-0.063,0.0006,0.0001,0.0,0.0691,4.0,2
0.116,0.0137,-0.0195,-0.0237,-0.0004,-0.0695,0.0,0.0003,0.0,0.0789,4.0,2
0.1055,-0.0094,-0.0016,-0.0256,0.0035,-0.0691,0.0006,0.0002,0.0,0.0706,4.0,2
-0.0219,-0.1338,0.0451,0.0258,-0.0617,-0.0536,0.0,1.0,0.0,0.0952,5.0,2
0.0061,-0.1148,0.0384,0.0576,-0.1894,-0.0624,0.0006,1.0,0.0,0.0808,5.0,2
0.1692,-0.0666,-0.0076,0.0624,-0.164,-0.0708,0.0,0.9343,0.0,0.1214,5.0,2
0.1722,-0.0453,-0.0384,0.0591,-0.0782,-0.0753,0.0006,0.4673,0.0,0.1214,5.0,2
0.1764,-0.0164,-0.0392,0.0432,-0.0328,-0.0753,0.0,0.0217,0.0,0.121,5.0,2
0.1614,-0.0185,-0.0206,0.0383,0.0148,-0.0763,0.0006,0.0002,0.0,0.1092,5.0,2
0.1421,0.0004,-0.0201,0.0457,0.0406,-0.069,0.0,0.0004,0.0,0.0957,5.0,2
0.11,0.0111,-0.021,0.028,0.0432,-0.0629,0.0006,0.0001,0.0,0.075,5.0,2
0.0911,0.0081,-0.0071,0.0192,0.0177,-0.0608,0.0,0.0003,0.0,0.0612,5.0,2
0.1014,0.0207,-0.0074,0.0023,-0.0061,-0.063,0.0006,0.0001,0.0,0.0691,5.0,2
0.116,0.0137,-0.0195,-0.0237,-0.0004,-0.0695,0.0,0.0003,0.0,0.0789,5.0,2
0.1055,-0.0094,-0.0016,-0.0256,0.0035,-0.0691,0.0006,0.0002,0.0,0.0706,5.0,2
0.1109,0.0384,-0.0169,-0.0023,-0.0086,-0.0923,0.0002,0.1334,0.0,0.079,5.0,2
0.0961,0.0152,-0.0345,-0.0129,-0.0014,-0.0975,0.0005,0.6464,0.0,0.0688,5.0,2
0.1253,0.0043,-0.0271,-0.0137,0.0206,-0.0893,0.0002,1.0,0.0,0.0855,5.0,2
0.0746,0.0037,-0.0363,0.0141,0.0391,-0.0723,0.0005,1.0,0.0,0.0554,5.0,2
0.0647,0.0501,-0.0293,0.031,0.015,-0.0686,0.0001,1.0,0.0,0.058,5.0,2
0.0821,0.0476,-0.0295,-0.002,0.0021,-0.0807,0.0005,1.0,0.0,0.0662,5.0,2
0.0749,0.0139,-0.0221,-0.019,-0.0165,-0.0938,0.0001,1.0,0.0,0.0529,5.0,2
0.0334,0.0137,0.0039,0.011,-0.0698,-0.0849,0.0006,1.0,0.0,0.0242,5.0,2
0.1031,0.0219,-0.0232,0.0286,-0.0967,-0.0771,0.0001,0.529,0.0,0.0719,5.0,2
0.1391,0.0406,-0.0396,0.0399,-0.0658,-0.0777,0.0006,0.1796,0.0,0.1001,5.0,2
0.1038,0.0679,-0.0254,0.0465,-0.0271,-0.0864,0.0001,0.0004,0.0,0.0844,5.0,2
0.0866,0.0995,-0.0296,0.0113,-0.0304,-0.0912,0.0006,0.0002,0.0,0.0901,5.0,2
0.0942,0.0673,-0.0298,-0.0013,-0.0391,-0.0865,0.0,0.0003,0.0,0.0797,5.0,2
0.0956,0.0567,-0.0534,0.0221,-0.0268,-0.0818,0.0006,0.0001,0.0,0.0822,5.0,2
0.0848,0.0954,-0.0492,0.0209,-0.0221,-0.0782,0.0,0.0003,0.0,0.0912,5.0,2
0.0807,0.0788,-0.0495,0.004,-0.0317,-0.0676,0.0006,0.0001,0.0,0.0821,5.0,2
0.0828,0.0695,-0.0509,0.0068,-0.0412,-0.0598,0.0,0.0003,0.0,0.0797,5.0,2
0.1025,0.0736,-0.0591,0.0109,-0.0351,-0.0585,0.0006,0.0002,0.0,0.0929,5.0,2
0.0334,0.0137,0.0039,0.011,-0.0698,-0.0849,0.0006,1.0,0.0,0.0242,6.0,2
0.1031,0.0219,-0.0232,0.0286,-0.0967,-0.0771,0.0001,0.529,0.0,0.0719,6.0,2
0.1391,0.0406,-0.0396,0.0399,-0.0658,-0.0777,0.0006,0.1796,0.0,0.1001,6.0,2
0.1038,0.0679,-0.0254,0.0465,-0.0271,-0.0864,0.0001,0.0004,0.0,0.0844,6.0,2
0.0866,0.0995,-0.0296,0.0113,-0.0304,-0.0912,0.0006,0.0002,0.0,0.0901,6.0,2
0.0942,0.0673,-0.0298,-0.0013,-0.0391,-0.0865,0.0,0.0003,0.0,0.0797,6.0,2
0.0956,0.0567,-0.0534,0.0221,-0.0268,-0.0818,0.0006,0.0001,0.0,0.0822,6.0,2
0.0848,0.0954,-0.0492,0.0209,-0.0221,-0.0782,0.0,0.0003,0.0,0.0912,6.0,2
0.0807,0.0788,-0.0495,0.004,-0.0317,-0.0676,0.0006,0.0001,0.0,0.0821,6.0,2
0.0828,0.0695,-0.0509,0.0068,-0.0412,-0.0598,0.0,0.0003,0.0,0.0797,6.0,2
0.1025,0.0736,-0.0591,0.0109,-0.0351,-0.0585,0.0006,0.0002,0.0,0.0929,6.0,2
0.1733,0.1007,-0.0411,-0.016,-0.0011,-0.0356,0.0003,0.0003,0.0,0.1364,6.0,2
0.1778,0.0782,-0.042,-0.0506,0.0541,-0.0457,0.0004,0.0001,0.0,0.1325,6.0,2
0.0799,0.0506,-0.0308,-0.0768,0.0874,-0.0461,0.0002,0.6133,0.0,0.0663,6.0,2
0.0697,0.0513,-0.0381,-0.0759,0.075,-0.0521,0.0005,0.9855,0.0,0.0631,6.0,2
0.0617,0.0081,-0.0326,-0.058,0.034,-0.0568,0.0001,1.0,0.0,0.0468,6.0,2
0.0594,0.0131,-0.0235,-0.0202,-0.0156,-0.0681,0.0005,1.0,0.0,0.0434,6.0,2
0.0544,0.0404,-0.0296,-0.0005,-0.0218,-0.0625,0.0001,1.0,0.0,0.0493,6.0,2
0.0274,0.0578,-0.0247,-0.0146,-0.0623,-0.0553,0.0005,1.0,0.0,0.0457,6.0,2
0.0583,0.0504,-0.021,-0.0164,-0.0952,-0.0514,0.0001,0.9573,0.0,0.0533,6.0,2
0.1015,0.0524,-0.0511,-0.0059,-0.1153,-0.0615,0.0005,0.5226,0.0,0.0834,6.0,2
0.1382,0.0647,-0.0508,0.0305,-0.1047,-0.0529,0.0,0.0822,0.0,0.1072,6.0,2
0.1353,0.0911,-0.0424,0.0301,-0.0571,-0.0563,0.0005,0.0002,0.0,0.1124,6.0,2
0.1263,0.106,-0.0141,0.0137,-0.0432,-0.0383,0.0,0.0003,0.0,0.1103,6.0,2
0.1303,0.1037,-0.0218,0.0136,-0.0682,-0.0226,0.0006,0.0001,0.0,0.1119,6.0,2
0.1574,0.1006,-0.0299,0.0065,-0.081,-0.0014,0.0,0.0003,0.0,0.1261,6.0,2
0.1761,0.0569,-0.061,0.0197,-0.0712,0.0012,0.0007,0.0001,0.0,0.1299,6.0,2
0.1654,0.0769,-0.0768,0.0275,-0.0573,0.0048,0.0,0.0003,0.0,0.132,6.0,2
0.1683,0.0751,-0.0721,0.0183,-0.0806,0.0153,0.0006,0.0002,0.0,0.1319,6.0,2
0.1994,0.0519,-0.0771,0.0116,-0.0837,0.0149,0.0,0.0003,0.0,0.1466,6.0,2
0.0274,0.0578,-0.0247,-0.0146,-0.0623,-0.0553,0.0005,1.0,0.0,0.0457,7.0,2
0.0583,0.0504,-0.021,-0.0164,-0.0952,-0.0514,0.0001,0.9573,0.0,0.0533,7.0,2
0.1015,0.0524,-0.0511,-0.0059,-0.1153,-0.0615,0.0005,0.5226,0.0,0.0834,7.0,2
0.1382,0.0647,-0.0508,0.0305,-0.1047,-0.0529,0.0,0.0822,0.0,0.1072,7.0,2
0.1353,0.0911,-0.0424,0.0301,-0.0571,-0.0563,0.0005,0.0002,0.0,0.1124,7.0,2
0.1263,0.106,-0.0141,0.0137,-0.0432,-0.0383,0.0,0.0003,0.0,0.1103,7.0,2
0.1303,0.1037,-0.0218,0.0136,-0.0682,-0.0226,0.0006,0.0001,0.0,0.1119,7.0,2
0.1574,0.1006,-0.0299,0.0065,-0.081,-0.0014,0.0,0.0003,0.0,0.1261,7.0,2
0.1761,0.0569,-0.061,0.0197,-0.0712,0.0012,0.0007,0.0001,0.0,0.1299,7.0,2
0.1654,0.0769,-0.0768,0.0275,-0.0573,0.0048,0.0,0.0003,0.0,0.132,7.0,2
0.1683,0.0751,-0.0721,0.0183,-0.0806,0.0153,0.0006,0.0002,0.0,0.1319,7.0,2
0.1994,0.0519,-0.0771,0.0116,-0.0837,0.0149,0.0,0.0003,0.0,0.1466,7.0,2
0.2494,0.0504,-0.1156,-0.0245,-0.0082,0.004,0.0004,0.0005,0.0,0.1863,7.0,2
