gesture_id,timestep,label,name,ax,ay,az,gx,gy,gz,f1,f2,f3,mag,exp_logit_0,exp_logit_1,exp_logit_2,exp_logit_3,exp_logit_4,exp_logit_5,exp_logit_6,exp_logit_7,exp_logit_8
0,0,8,crane_wing,0.0008,-0.002,0.0075,-0.0165,0.0008,0.0114,0.0,0.0008,0.0,0.0078,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,1,8,crane_wing,0.0043,0.0043,-0.0078,-0.0146,0.0017,0.0112,0.0,0.0009,0.0,0.0098,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,2,8,crane_wing,0.0016,0.005,-0.007,-0.014,0.0065,0.0129,0.0,0.0008,0.0,0.0088,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,3,8,crane_wing,-0.0043,-0.0003,0.0006,-0.018,0.0067,0.0135,0.0,0.0007,0.0,0.0044,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,4,8,crane_wing,0.0013,0.006,0.0004,-0.0249,0.0065,0.0147,0.0,0.001,0.0,0.0062,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,5,8,crane_wing,0.0014,-0.007,0.0031,-0.0185,0.0077,0.016,0.0,0.0007,0.0,0.0078,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,6,8,crane_wing,-0.0006,0.0007,-0.0019,-0.0152,0.0137,0.0168,0.0,0.0009,0.0,0.0022,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,7,8,crane_wing,0.0177,-0.0084,0.0028,-0.0249,0.0189,0.0166,0.0,0.0008,0.0,0.0198,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,8,8,crane_wing,0.0646,0.0275,0.078,-0.0541,0.0346,0.0143,0.0,0.0008,0.0,0.1049,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,9,8,crane_wing,-0.0018,0.0536,0.422,-0.1568,0.077,-0.0277,0.0,0.001,0.0,0.4254,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,10,8,crane_wing,-0.4201,0.0614,0.3416,-0.2025,-0.2925,-0.0067,0.0,0.0007,0.0,0.545,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,11,8,crane_wing,-0.261,-0.0791,0.2733,0.0029,-0.857,0.0767,0.0,0.0009,0.0,0.3861,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
0,12,8,crane_wing,-0.0804,-0.0725,-0.0225,0.1019,-0.9555,0.0945,0.0,0.0008,0.0,0.1106,-13.883252,-212.013077,-160.35025,-213.203079,-51.833706,-102.934006,-144.366638,-16.676554,10.589299
